custid,firstname,lastname,email,custno,custjoining,custzip,,
311,mervin,woolum,mervinwoolum,7686037797,1/18/05,14839,,
312,nobuko,bialek,nobukobialek,8190675678,11/26/20,62098,,
313,kizzy,mancil,kizzymancil,3439475493,8/25/01,55328,,
314,nelda,lucian,neldalucian,8401653515,6/17/04,71279,,
315,odessa,marshburn,odessamarshburn,7218748715,1/21/11,88346,,
316,armida,johanson,armidajohanson,2261077342,4/13/16,93738,,
317,yang,lubinski,yanglubinski,6592295038,1/1/21,18699,,
318,luciana,breneman,lucianabreneman,6550172505,8/5/12,85936,,
319,joaquin,southworth,joaquinsouthworth,1007668007,12/1/16,94507,,
320,madalyn,pettiford,madalynpettiford,2956296163,9/30/06,82845,,
321,annika,seamon,annikaseamon,8555878453,7/17/00,59731,,
322,deanna,cleek,deannacleek,4198826435,11/1/04,44110,,
323,lynn,clifton,lynnclifton,1147056862,6/13/13,34234,,
324,horacio,gilford,horaciogilford,7265638042,4/10/14,49802,,
325,silvana,gosier,silvanagosier,8802477669,9/20/15,69449,,
326,casimira,bakker,casimirabakker,3417569132,1/2/15,58329,,
327,milagros,hixson,milagroshixson,5972121567,11/3/10,67297,,
328,vaughn,revilla,vaughnrevilla,2704737317,1/12/20,27749,,
329,cornelia,holly,corneliaholly,6624036224,9/2/01,91838,,
330,maryanna,klemme,maryannaklemme,9445190175,2/13/14,20516,,
331,ines,breeden,inesbreeden,5439710078,3/19/12,63230,,
332,bill,kuhlmann,billkuhlmann,8125134928,9/2/00,57277,,
333,ilda,bethel,ildabethel,7823062353,12/9/15,13569,,
334,norene,boudreau,noreneboudreau,1772598371,6/11/14,40392,,
335,sheron,lefever,sheronlefever,7600508421,8/9/02,56728,,
336,stefany,pietrzak,stefanypietrzak,4333506299,7/3/06,70955,,
337,cathleen,brawn,cathleenbrawn,4090394041,6/21/05,34482,,
338,loriann,wedeking,loriannwedeking,5871497529,12/13/01,43771,,
339,jonathon,red,jonathonred,7399616672,3/30/01,76140,,
340,genie,muma,geniemuma,5015998155,7/28/06,71580,,
341,arletha,badalamenti,arlethabadalamenti,8264470251,6/22/14,39899,,
342,elza,buser,elzabuser,6376474045,3/20/15,87851,,
343,alaina,lykes,alainalykes,9971627845,7/19/09,64824,,
344,pamula,dalzell,pamuladalzell,1542124067,8/7/13,29057,,
345,maricela,jhonson,maricelajhonson,8598907308,9/28/20,18556,,
346,audry,mcgarr,audrymcgarr,2950559481,12/9/07,21792,,
347,kyla,bingaman,kylabingaman,4469026728,1/31/14,78785,,
348,shyla,tubman,shylatubman,3551409542,7/31/05,93133,,
349,scottie,felton,scottiefelton,6798545181,11/6/15,27087,,
350,terrance,joy,terrancejoy,2251216807,9/13/03,45427,,
351,yee,trieu,yeetrieu,9500077571,7/24/06,86287,,
352,houston,oller,houstonoller,8304701421,12/17/02,14068,,
353,ladawn,ates,ladawnates,2027385779,10/19/03,16638,,
354,marylouise,dorn,marylouisedorn,6447851018,4/26/20,39324,,
355,rex,merriam,rexmerriam,4991591044,8/31/10,30174,,
356,rosetta,heidenreich,rosettaheidenreich,8578402327,10/7/02,49082,,
357,billye,serafin,billyeserafin,9969976433,8/30/03,41602,,
358,brittaney,hermes,brittaneyhermes,3148408572,4/28/13,18565,,
359,nannie,colligan,nanniecolligan,1667746542,9/28/01,70967,,
360,emmy,gallaway,emmygallaway,6005937394,7/1/12,71778,,
361,giselle,lou,gisellelou,2489749747,8/20/19,77075,,
362,pam,melendez,pammelendez,9050477242,10/12/05,36029,,
363,julius,blazek,juliusblazek,4189196428,9/2/09,55548,,
364,krystina,lucca,krystinalucca,9809850350,7/18/07,50541,,
365,raisa,musgrove,raisamusgrove,2706265453,7/5/17,95434,,
366,carmelo,wain,carmelowain,6848729102,4/22/15,73587,,
367,kera,gilkison,keragilkison,1320081507,8/28/18,19294,,
368,xavier,trotta,xaviertrotta,8633453166,9/12/10,59873,,
369,florance,lawhon,florancelawhon,8848762320,10/15/02,30087,,
370,albertha,digennaro,alberthadigennaro,8158994695,3/10/06,73119,,
371,andra,bevel,andrabevel,4549526443,12/23/08,10491,,
372,winford,hamlin,winfordhamlin,2125783207,8/22/05,31659,,
373,bonny,horney,bonnyhorney,5765723343,7/31/07,73359,,
374,codi,garrels,codigarrels,3727860399,2/4/05,57775,,
375,kristeen,warman,kristeenwarman,1063586592,5/3/13,58798,,
376,trinidad,graziano,trinidadgraziano,2419712741,3/16/08,61744,,
377,viva,roda,vivaroda,8304767447,12/29/17,81337,,
378,manual,vales,manualvales,1519330706,6/24/09,66022,,
379,brendon,puente,brendonpuente,4705301699,7/8/16,62665,,
380,nathalie,devita,nathaliedevita,6413223099,7/23/01,72299,,
381,zelda,ogren,zeldaogren,4879843576,4/7/14,56573,,
382,sadie,hazelton,sadiehazelton,8264766845,12/6/01,51000,,
383,vinnie,bains,vinniebains,3957447300,12/22/01,77367,,
384,frederick,rankins,frederickrankins,3928093890,5/10/03,32277,,
385,trish,vickers,trishvickers,7881016819,12/27/01,30000,,
386,masako,allman,masakoallman,4023914017,9/12/18,57365,,
387,ferne,villalpando,fernevillalpando,9516155560,5/27/04,20706,,
388,elna,kowal,elnakowal,2880907076,12/16/10,38651,,
389,aaron,castello,aaroncastello,9576709999,1/9/03,69765,,
390,gerard,barrientos,gerardbarrientos,1823756243,7/20/02,32354,,
391,wes,imel,wesimel,8763209518,9/5/09,35026,,
392,stella,sears,stellasears,3760194233,7/4/05,94002,,
393,josette,vavra,josettevavra,7309686359,7/30/15,73921,,
394,guadalupe,linen,guadalupelinen,7183530944,2/13/12,18779,,
395,jeremiah,damiani,jeremiahdamiani,2581235099,12/17/03,29973,,
396,roxy,lauber,roxylauber,8137382961,6/7/01,48684,,
397,federico,biros,federicobiros,2573472392,8/27/08,68088,,
398,sol,dantonio,soldantonio,3446916696,3/25/17,55530,,
399,lucas,anchondo,lucasanchondo,3886764596,2/11/10,65346,,
400,ok,then,okthen,6162784159,2/20/07,62234,,
401,mei,vaz,meivaz,5834746367,2/18/14,37252,,
402,janelle,haddox,janellehaddox,2174033978,11/18/11,15652,,
403,donald,trollinger,donaldtrollinger,5787356937,4/17/14,50619,,
404,shakira,moreles,shakiramoreles,8973018642,1/6/20,58065,,
405,crista,cuccia,cristacuccia,8654834550,8/22/05,31799,,
406,phung,dinh,phungdinh,6898588226,2/8/10,60265,,
407,paul,lockett,paullockett,7215287852,8/13/09,16694,,
408,merlyn,hults,merlynhults,1270866899,3/10/09,91269,,
409,kym,rotter,kymrotter,8252621045,2/15/10,85537,,
410,jocelyn,akey,jocelynakey,6281588762,5/23/15,16853,,
411,yukiko,furtado,yukikofurtado,2596928182,10/8/16,96927,,
412,sonny,wilner,sonnywilner,9202495509,1/16/10,16462,,
413,verna,beller,vernabeller,5898080321,8/12/06,61401,,
414,hai,lippert,hailippert,1807609328,12/30/09,44379,,
415,deeann,burdette,deeannburdette,3245254032,11/9/20,85343,,
416,londa,gamache,londagamache,3239410990,12/1/07,43049,,
417,shaina,sentell,shainasentell,4021256406,11/5/00,64016,,
418,dominick,dolson,dominickdolson,1960934126,7/23/17,71217,,
419,len,bufford,lenbufford,1930541574,8/9/11,25385,,
420,luvenia,mattis,luveniamattis,4630103998,6/9/09,69732,,
421,alysa,harlow,alysaharlow,5510619576,1/22/00,58397,,
422,eliz,jennings,elizjennings,2560530549,12/24/09,22210,,
423,claris,lamons,clarislamons,1609048835,12/20/07,65088,,
424,vina,uhlig,vinauhlig,6641374630,7/4/19,43084,,
425,glendora,hemminger,glendorahemminger,6775879093,8/8/17,62613,,
426,nelly,hardman,nellyhardman,9242553346,12/5/20,96800,,
427,cinda,hargett,cindahargett,5453996287,11/3/13,52348,,
428,clarinda,pett,clarindapett,2839927737,4/10/18,25678,,
429,aisha,waller,aishawaller,8659636991,10/11/03,63654,,
430,carina,maybee,carinamaybee,2435323737,7/26/16,88688,,
431,joanna,savoy,joannasavoy,3328596539,5/18/08,92743,,
432,kayleen,watts,kayleenwatts,8431737901,4/30/15,90651,,
433,tobias,wronski,tobiaswronski,1043564307,4/11/05,80490,,
434,karrie,gust,karriegust,6720369818,12/28/05,88418,,
435,migdalia,schimmel,migdaliaschimmel,1266228940,8/1/10,58595,,
436,markita,morphis,markitamorphis,6395443107,1/22/13,97002,,
437,sid,welk,sidwelk,5309115526,2/6/03,24468,,
438,iliana,strauch,ilianastrauch,6774587002,8/26/20,81605,,
439,tawana,showers,tawanashowers,5134479120,2/6/02,80986,,
440,keren,godbout,kerengodbout,9036987788,12/1/08,93651,,
441,laureen,wrinkle,laureenwrinkle,3611808462,4/12/13,25544,,
442,grady,kellogg,gradykellogg,9832847399,3/18/02,34264,,
443,ulrike,gurley,ulrikegurley,7478652799,5/19/02,41491,,
444,gracie,rawlings,gracierawlings,8882534715,10/9/11,39032,,
445,margurite,knebel,marguriteknebel,4431357147,11/28/12,76853,,
446,claud,lecompte,claudlecompte,7391360971,9/29/09,73469,,
447,cole,vanhouten,colevanhouten,1796811145,11/4/02,90948,,
448,frances,lloyd,franceslloyd,7240256901,4/6/09,35339,,
449,lakendra,schlottmann,lakendraschlottmann,4966116049,9/30/00,31704,,
450,rocky,pridmore,rockypridmore,3986449726,1/13/17,85030,,
451,esmeralda,platts,esmeraldaplatts,9748409123,8/14/10,13315,,
452,rod,kropf,rodkropf,6988411713,4/30/15,89575,,
453,marilynn,speer,marilynnspeer,1680020448,8/27/12,24933,,
454,ira,melendez,iramelendez,6171941347,5/8/00,11837,,
455,hae,leininger,haeleininger,6425256593,3/31/08,84806,,
456,melita,hiemstra,melitahiemstra,8796760502,12/29/18,72987,,
457,jacquetta,baillargeon,jacquettabaillargeon,4559034715,12/2/15,57968,,
458,lucio,shahid,lucioshahid,1017822064,4/25/14,62077,,
459,travis,hamlett,travishamlett,9441609883,6/23/02,71487,,
460,mariko,lemoine,marikolemoine,2107692112,11/4/02,77001,,
461,janina,jennison,janinajennison,5657353354,3/11/03,56433,,
462,marina,ocon,marinaocon,6156753124,1/30/12,58763,,
463,laurette,crumpler,laurettecrumpler,6906498606,9/29/09,72664,,
464,britteny,frierson,brittenyfrierson,4966568614,3/28/05,33692,,
465,kerri,grizzle,kerrigrizzle,5019504749,4/3/03,24823,,
466,trudi,deshazo,trudideshazo,8905681944,7/24/15,76646,,
467,keitha,muncy,keithamuncy,9687427660,9/29/03,92668,,
468,gerri,gargano,gerrigargano,4337121036,9/26/16,77129,,
469,lin,veliz,linveliz,2199573005,11/12/17,58353,,
470,camelia,drennen,cameliadrennen,6960999259,3/4/19,58480,,
471,tatyana,reeser,tatyanareeser,6915275468,1/1/04,63192,,
472,felisa,campo,felisacampo,6598144284,5/28/02,67050,,
473,tyler,frandsen,tylerfrandsen,9526427859,12/16/19,68735,,
474,mickey,warfield,mickeywarfield,8713849488,10/26/14,62303,,
475,buster,defilippo,busterdefilippo,9903856298,8/12/04,61014,,
476,lorine,mchargue,lorinemchargue,5311621377,3/3/17,24948,,
477,alpha,wicker,alphawicker,2432796177,8/31/15,64362,,
478,alesha,borey,aleshaborey,3333478182,10/11/16,86365,,
479,pattie,remo,pattieremo,3286879687,9/27/03,53604,,
480,yang,granillo,yanggranillo,4114313436,8/13/05,73147,,
481,lynn,sax,lynnsax,1428691294,8/31/15,40263,,
482,rosio,hoard,rosiohoard,9971477170,5/9/06,97009,,
483,cherri,jasinski,cherrijasinski,4785639670,7/6/03,97357,,
484,phoebe,plotner,phoebeplotner,2605733711,3/19/18,97408,,
485,silas,selvy,silasselvy,5298769743,4/19/08,85929,,
486,georgette,chism,georgettechism,3377119068,7/7/06,36112,,
487,lakiesha,hightower,lakieshahightower,3034550949,1/16/07,20661,,
488,tona,koss,tonakoss,9069962248,10/1/20,53559,,
489,lorette,rotondo,loretterotondo,6416064583,5/5/03,67643,,
490,lorinda,bethke,lorindabethke,2076042529,11/26/16,46012,,
491,arlen,clinard,arlenclinard,1022941176,9/5/16,61438,,
492,lesley,lipton,lesleylipton,1071844071,2/21/17,44956,,
493,rosanne,mayers,rosannemayers,8813522732,3/2/17,73552,,
494,selina,leffler,selinaleffler,9889378609,3/25/06,82001,,
495,milford,sang,milfordsang,5684737835,1/31/08,71633,,
496,geraldine,crimmins,geraldinecrimmins,9741687821,10/30/13,18832,,
497,veta,crochet,vetacrochet,7416504180,11/14/12,38196,,
498,haley,warwick,haleywarwick,7336076717,12/21/11,34309,,
499,dulcie,wehmeyer,dulciewehmeyer,5245242904,5/1/04,78645,,
500,mechelle,stoneman,mechellestoneman,7181953648,6/6/11,87345,,
